recid;black;alcohol;drugs;married;felon;educ;rules;age
0;0;0;1;0;0;9;27;274
0;1;0;0;1;0;11;0;422
0;0;0;0;0;0;12;0;261
1;0;0;0;1;0;8;0;365
0;1;0;0;0;0;12;0;241
1;1;0;1;0;0;9;0;247
0;0;0;1;0;0;12;1;258
0;0;1;1;0;0;11;3;276
1;1;0;0;0;0;12;1;321
0;0;0;0;0;0;12;0;239
0;0;0;0;0;0;12;0;324
0;1;0;0;0;1;8;0;368
0;0;0;0;0;0;16;0;335
0;0;0;0;1;1;11;0;376
0;0;0;0;0;0;9;0;296
1;1;0;0;0;1;11;0;237
0;0;0;0;0;0;8;0;209
0;0;0;0;0;0;8;0;806
0;0;0;0;1;0;10;0;308
0;1;0;0;0;0;6;0;355
0;1;0;0;0;0;9;0;253
0;1;0;0;0;0;10;1;329
1;1;0;0;0;1;10;3;373
0;0;0;0;1;1;9;1;336
0;0;0;0;1;0;7;0;321
0;1;0;0;0;1;11;1;331
0;1;0;0;0;1;10;4;249
1;0;1;0;1;0;12;0;571
1;0;1;0;0;0;12;0;368
1;0;0;1;0;1;11;1;320
0;0;1;0;0;0;9;1;263
1;0;1;0;1;0;8;0;301
0;1;1;0;0;0;8;1;280
0;1;0;1;0;0;14;4;320
0;0;0;0;0;0;12;0;241
0;1;0;0;0;1;9;0;239
0;0;0;0;1;1;11;0;279
0;1;0;1;0;0;8;2;471
0;1;0;1;1;0;9;2;493
1;0;0;1;0;0;8;5;288
0;1;1;0;1;1;10;0;335
1;1;1;0;0;0;12;0;389
1;1;0;0;0;1;12;0;423
1;0;0;0;1;0;8;2;282
0;0;0;0;1;0;9;1;259
1;1;0;0;0;0;11;0;237
0;0;0;0;1;0;12;1;249
1;0;0;0;0;1;8;3;238
1;0;1;0;0;0;8;0;294
0;0;0;0;0;0;11;2;274
0;0;0;0;0;1;8;0;251
1;0;1;1;0;0;9;0;380
0;0;0;0;1;1;10;0;310
1;1;0;1;0;0;10;5;294
0;0;1;0;0;1;14;4;295
0;1;0;0;0;1;8;0;302
0;0;1;0;0;1;11;4;349
0;0;1;0;0;0;8;1;376
0;0;0;0;0;1;8;2;462
1;0;0;0;0;1;8;3;238
0;0;0;0;0;1;12;2;387
0;0;0;0;1;1;9;1;314
1;0;1;1;1;1;9;0;364
1;1;1;0;0;0;9;0;512
0;0;0;0;0;1;4;2;264
0;0;1;0;0;0;10;0;282
1;0;0;0;0;0;7;0;338
1;0;0;0;0;0;9;0;234
1;1;0;0;0;1;9;0;247
1;1;1;0;1;0;9;1;283
0;0;0;1;0;0;11;0;255
0;1;1;0;0;1;9;3;273
0;1;0;0;1;0;12;0;288
0;0;0;0;0;0;9;1;309
0;1;0;0;0;0;11;0;378
1;1;1;1;0;0;10;0;226
0;0;1;0;0;0;18;0;473
1;1;0;0;0;1;12;1;257
0;0;1;0;1;0;14;0;423
0;1;0;0;0;1;10;0;276
1;1;0;0;0;0;14;0;327
0;1;0;1;0;1;9;0;637
1;0;0;1;0;0;12;0;720
0;0;1;0;0;0;12;0;304
0;0;0;1;1;0;3;1;477
0;1;0;1;1;0;10;0;305
0;1;0;0;0;0;12;3;308
1;1;0;0;0;0;7;0;477
0;1;0;0;0;0;13;1;263
1;1;0;1;0;1;8;0;243
0;0;0;0;0;1;12;2;276
0;0;0;1;0;1;8;2;470
0;1;0;0;0;0;11;0;216
0;1;0;1;0;1;12;0;302
1;1;0;0;0;0;11;0;245
0;1;0;0;1;1;8;0;266
0;1;0;0;0;1;8;0;353
1;0;1;1;0;0;12;4;365
0;0;1;1;0;1;11;5;323
0;0;0;1;0;0;12;1;330
0;1;0;1;1;0;6;0;499
1;1;1;0;0;1;12;5;384
0;1;0;1;1;0;5;1;313
0;1;1;0;0;0;12;0;487
1;0;1;0;0;0;10;1;353
1;1;0;1;0;0;10;1;293
0;1;0;1;0;1;10;5;277
0;0;0;0;1;1;7;0;685
0;1;0;0;0;0;11;0;283
0;0;0;0;0;1;13;0;286
0;1;0;0;0;1;10;1;253
0;1;0;0;0;0;10;0;248
1;1;0;0;0;0;11;0;315
1;1;0;1;0;0;9;1;304
0;0;0;0;0;0;7;4;285
0;0;1;0;1;0;9;2;299
0;1;0;0;1;1;10;7;322
0;1;0;0;0;0;11;0;215
0;0;0;0;0;0;11;0;290
0;0;0;0;1;1;7;0;296
0;1;0;0;0;0;10;1;278
1;1;0;0;0;0;7;7;235
0;1;0;1;0;0;10;2;280
1;1;0;1;0;1;9;5;279
0;1;1;0;1;1;7;1;333
0;0;0;0;0;1;8;3;260
0;1;0;1;0;0;18;0;528
1;1;0;0;0;1;8;1;250
1;1;1;0;1;0;11;0;406
0;0;0;1;0;1;7;10;263
1;1;0;0;0;0;10;1;230
0;0;0;1;0;0;7;0;430
0;1;0;0;0;0;9;0;423
0;1;0;0;1;1;12;0;348
0;0;0;0;0;0;9;0;232
1;0;0;1;0;1;13;0;349
1;1;0;0;0;1;15;0;335
1;1;0;0;1;0;12;0;318
1;0;1;0;1;0;11;3;311
0;1;0;1;0;1;11;3;309
0;1;0;1;1;0;8;0;323
0;0;1;0;0;0;7;0;383
0;0;1;0;1;0;9;1;302
1;1;0;0;0;0;8;0;227
0;0;1;0;0;0;7;0;234
0;1;0;0;0;0;8;1;327
1;1;0;1;1;1;12;1;490
1;1;0;0;0;0;10;1;261
1;0;0;0;0;1;9;3;248
0;0;0;0;0;0;10;0;243
0;0;1;0;0;0;10;0;258
0;0;0;1;1;1;6;3;450
1;1;0;0;0;1;9;2;306
0;1;0;0;0;1;12;1;265
0;0;0;1;0;0;10;1;232
1;1;0;1;0;1;11;2;362
1;0;0;0;1;0;9;7;279
0;0;0;0;1;0;9;0;248
0;0;0;1;0;0;9;0;326
1;0;0;1;0;1;8;0;691
0;1;0;0;0;0;12;1;323
1;0;0;0;1;0;7;2;386
1;0;0;0;0;0;12;1;295
0;0;0;0;1;1;11;0;243
0;0;1;0;1;1;10;16;380
1;0;0;1;0;0;14;0;279
1;1;0;0;0;1;11;3;266
1;1;0;0;0;1;9;4;254
0;1;0;0;0;1;18;0;434
0;0;0;0;0;1;7;0;467
0;0;0;1;1;1;4;4;578
1;0;0;1;0;1;6;6;436
0;1;0;0;0;0;9;2;246
1;1;0;0;0;1;9;2;325
0;1;0;0;0;1;11;7;393
0;0;0;0;0;0;8;1;232
1;1;1;0;0;0;10;1;248
1;0;0;1;0;0;10;6;228
0;0;0;0;0;0;12;1;330
0;0;1;1;0;0;7;0;335
1;1;1;0;1;0;12;1;321
1;0;1;0;0;0;8;3;433
0;1;1;0;0;0;2;0;426
0;0;1;0;0;0;6;1;550
0;0;0;0;0;1;8;0;421
0;0;0;0;1;1;10;2;463
0;0;0;0;0;0;4;0;347
1;1;0;0;0;1;9;7;335
0;1;0;0;1;1;14;1;372
0;1;0;0;0;0;9;0;229
0;0;0;0;1;1;12;3;327
0;0;0;1;0;0;6;0;270
1;0;1;0;0;0;9;0;402
1;0;1;1;1;1;8;13;294
1;0;1;0;0;0;9;0;268
1;1;0;0;0;0;11;0;232
0;1;0;0;0;1;12;0;264
0;0;0;0;0;0;12;0;304
1;1;0;0;0;1;8;1;256
0;1;1;0;0;0;12;0;477
1;1;0;0;0;0;12;0;276
0;0;0;0;0;0;10;0;244
1;0;0;1;0;0;8;2;241
0;0;0;0;0;0;8;0;350
0;1;0;0;0;0;10;0;250
0;1;0;0;0;0;10;6;285
0;0;0;0;0;0;9;0;271
1;1;0;0;0;1;10;0;295
0;0;0;1;0;0;14;1;610
1;1;0;0;1;1;10;0;475
1;0;1;0;0;1;12;2;422
1;0;0;0;0;1;8;3;252
0;0;0;1;0;1;12;1;269
0;0;0;0;0;1;9;3;287
1;1;0;0;0;0;10;0;267
0;0;0;1;0;0;10;0;223
0;0;0;1;0;0;11;0;247
0;1;0;0;0;0;11;2;322
0;0;0;0;1;0;9;0;270
1;0;0;1;0;0;9;4;259
0;1;0;0;0;1;11;1;246
1;1;1;0;1;0;12;0;461
1;0;0;0;0;1;12;1;620
1;1;0;0;1;0;11;2;402
0;1;0;0;0;0;10;0;273
0;0;1;1;1;0;12;0;717
0;0;0;0;0;0;10;0;261
1;0;0;0;0;1;13;2;339
1;1;0;1;0;0;9;1;328
1;1;0;0;0;0;6;0;476
0;0;0;0;0;0;4;0;593
0;1;0;0;1;0;10;2;353
0;0;0;1;0;0;12;0;241
0;0;1;1;0;0;13;0;496
1;1;0;0;1;1;14;1;398
1;1;0;0;0;0;9;0;204
0;1;0;0;0;0;12;0;251
0;0;0;1;1;0;11;1;297
0;0;0;0;1;0;10;2;327
0;0;0;1;1;0;12;1;278
0;0;0;0;0;0;12;3;250
1;0;1;1;1;0;9;1;260
0;0;1;1;0;0;12;0;408
1;0;0;0;0;0;9;0;229
1;1;0;0;0;1;12;5;250
0;1;0;0;0;0;11;0;235
0;1;0;0;0;0;9;0;239
1;1;0;1;0;1;9;0;467
0;0;0;1;0;0;7;1;508
0;0;0;0;0;1;14;3;387
0;1;0;0;0;1;13;1;271
1;0;1;0;0;0;10;0;484
0;0;0;0;1;0;7;0;799
1;1;0;1;0;0;7;0;253
1;0;0;1;0;0;8;2;240
0;1;1;0;0;1;8;0;313
1;1;0;0;0;1;12;0;343
1;1;0;0;0;0;11;0;222
0;0;1;0;0;0;13;0;314
0;0;0;1;1;0;7;0;338
1;1;0;0;0;1;8;3;292
0;0;0;0;0;0;7;1;288
1;1;0;0;0;1;10;1;406
0;0;0;1;0;0;12;0;246
0;1;0;0;1;0;9;0;334
0;1;0;0;0;0;12;0;290
0;1;0;0;0;0;10;0;412
0;0;0;0;0;0;6;1;359
0;0;0;0;0;0;9;1;261
1;0;1;0;0;1;7;0;584
0;0;0;1;1;0;10;0;418
1;1;0;0;0;0;10;1;306
0;0;0;1;0;0;11;0;226
0;1;0;0;0;0;10;0;232
0;0;0;0;0;1;10;5;304
0;1;0;0;1;0;12;0;296
0;1;1;0;0;0;5;0;352
0;1;0;0;0;0;11;0;248
1;1;0;0;0;0;11;0;368
0;0;0;0;0;0;8;0;252
1;1;0;0;0;0;8;0;237
0;0;0;0;1;0;8;0;324
1;0;0;0;0;0;10;0;277
0;1;0;0;0;1;10;5;348
0;0;0;0;0;1;8;0;255
0;1;0;0;1;0;9;0;269
1;1;0;0;0;1;9;21;210
1;1;0;0;0;0;11;3;233
1;1;0;0;0;0;10;0;258
1;1;0;0;0;1;12;0;268
0;1;0;0;0;0;12;2;433
0;0;1;0;1;0;11;2;300
1;1;0;0;0;0;10;1;282
0;0;0;1;0;0;9;0;532
0;1;0;0;0;0;10;0;933
1;1;0;0;0;1;12;4;290
0;0;0;0;1;1;10;1;267
0;0;0;0;1;1;11;1;274
1;1;0;0;0;1;12;2;425
0;0;0;0;0;0;9;3;237
0;0;0;0;1;0;12;0;294
1;1;0;0;0;0;15;1;333
0;1;0;0;0;0;10;0;245
0;0;0;0;0;0;9;0;199
1;1;1;0;0;0;11;0;248
0;0;0;0;0;0;10;0;198
1;1;1;0;0;0;11;0;392
1;0;0;0;0;1;9;0;295
0;0;0;1;0;0;13;0;292
0;0;0;0;0;0;11;0;330
0;1;0;0;0;0;10;0;250
0;0;0;0;1;1;10;1;292
0;0;0;0;0;0;12;0;294
1;1;0;0;0;0;11;4;238
1;1;0;0;0;0;10;0;324
0;0;0;0;1;1;7;2;368
0;1;0;0;0;0;6;2;339
0;1;0;0;0;1;11;0;287
1;1;0;1;1;0;1;1;663
1;0;0;0;0;1;8;8;235
0;0;0;0;0;1;11;0;253
0;1;0;0;0;0;11;0;414
0;1;0;0;0;0;4;0;375
0;0;0;0;0;0;10;0;230
0;1;1;0;0;1;11;0;525
1;0;1;1;0;0;12;0;256
1;1;0;0;0;1;8;2;229
1;0;0;0;0;1;8;1;277
1;0;0;0;0;0;9;2;254
0;0;0;0;0;1;9;0;593
0;0;0;0;0;1;14;0;286
0;1;0;1;0;1;16;1;533
0;1;0;0;0;1;10;1;287
0;1;1;0;1;0;12;0;395
1;1;0;0;0;0;14;0;339
1;1;0;0;0;1;12;0;370
1;1;0;0;0;0;11;7;285
0;0;0;1;0;0;12;0;274
0;1;0;0;1;0;8;1;514
0;0;0;0;0;0;9;0;234
0;1;0;0;0;0;10;0;454
1;0;0;1;0;1;8;1;343
0;0;1;0;1;0;4;0;482
0;1;0;1;0;0;9;0;296
1;1;0;0;0;1;10;4;269
1;0;0;1;0;0;9;2;253
1;1;0;0;1;1;11;6;345
0;1;0;0;1;0;11;0;611
0;0;1;0;0;0;10;0;243
1;1;1;0;0;0;12;1;372
0;0;0;1;0;0;12;0;275
0;0;0;0;0;0;10;0;338
0;1;0;0;0;0;12;1;222
1;0;1;1;1;0;7;1;271
1;0;0;0;0;1;9;5;244
1;1;0;0;0;1;11;3;261
0;1;1;0;1;0;2;0;413
0;0;0;0;0;0;12;1;248
0;0;0;0;0;0;12;2;264
1;0;0;1;0;0;9;1;247
1;0;0;0;0;0;9;0;226
0;0;0;0;0;0;7;0;260
0;0;0;0;0;0;7;0;284
0;0;0;0;1;0;10;0;726
0;0;0;0;0;0;14;0;268
0;1;1;0;0;0;12;0;506
1;0;0;0;0;0;7;0;375
0;0;0;1;0;0;11;0;262
0;1;0;0;1;0;11;2;330
0;0;0;1;0;1;10;1;281
0;0;1;0;0;0;12;0;493
1;1;1;0;1;0;8;0;332
0;0;0;1;1;0;12;1;277
1;0;0;1;0;1;14;0;285
0;1;0;0;0;0;10;1;321
0;0;0;0;0;0;10;0;204
0;1;0;1;1;1;9;0;408
0;1;0;0;0;0;11;0;331
0;0;1;1;1;0;10;2;423
0;0;0;0;0;1;9;10;363
0;0;1;0;0;0;9;0;446
0;1;0;0;1;1;11;0;674
1;0;0;0;0;0;12;2;239
1;1;0;0;0;0;10;1;231
0;0;0;0;0;1;7;3;362
0;0;0;0;0;0;10;2;324
1;1;1;0;1;0;8;0;652
0;1;1;0;0;0;11;1;463
0;0;0;0;1;0;14;0;294
1;0;0;0;0;0;8;5;435
0;0;0;0;0;0;10;0;276
0;0;0;1;0;1;9;1;244
1;0;0;1;0;0;8;2;290
1;0;1;0;1;0;12;0;264
0;1;1;0;0;0;10;0;315
0;0;0;0;0;0;10;0;233
0;1;1;0;0;0;3;0;703
1;1;0;1;0;0;9;9;277
0;0;0;0;0;0;10;3;259
1;1;1;1;0;0;10;1;326
1;0;0;0;0;0;10;0;215
1;1;0;0;1;1;12;0;373
0;0;0;1;0;0;10;1;237
0;0;0;0;0;0;12;0;365
1;1;1;0;0;0;12;0;293
1;1;0;0;0;0;10;2;304
1;0;1;1;1;0;7;0;237
1;1;0;0;0;0;11;0;225
0;1;1;0;1;0;8;1;566
0;0;0;0;0;0;8;0;237
1;1;0;1;0;0;9;4;298
0;0;0;0;1;0;12;12;599
1;0;1;0;1;0;6;0;517
1;1;0;0;0;1;10;0;284
0;1;1;0;0;0;10;1;244
1;0;1;1;1;1;5;0;511
1;1;0;1;0;0;8;4;491
1;1;0;0;0;1;9;7;240
0;0;1;0;1;0;4;0;575
0;0;0;0;0;1;8;0;241
0;0;0;0;1;0;12;1;322
1;0;1;0;0;0;8;0;367
0;0;1;1;0;1;13;1;243
0;0;0;0;0;0;10;0;248
1;1;0;0;0;0;10;0;222
1;0;0;1;1;1;11;2;333
0;0;0;0;0;1;12;0;330
0;1;0;0;0;0;10;0;223
1;1;0;1;0;0;11;5;226
0;1;0;0;0;0;12;0;352
1;0;0;0;0;0;8;1;238
1;1;0;1;1;0;12;1;369
1;0;1;1;0;0;9;1;376
0;1;0;0;0;1;12;0;345
1;1;0;0;1;1;9;10;252
0;0;1;0;1;0;9;0;469
1;0;0;0;1;1;12;2;243
0;1;0;0;0;1;12;2;259
0;1;0;0;0;1;10;3;265
1;1;0;0;1;1;12;0;350
0;1;0;0;0;0;11;1;258
1;1;0;0;1;1;2;1;577
1;1;0;0;0;1;12;1;249
0;0;0;1;0;0;9;0;364
0;1;0;1;0;0;5;0;501
0;0;0;1;0;1;12;0;267
0;0;0;0;1;0;6;1;486
0;1;0;0;1;1;14;0;311
1;0;1;0;0;0;9;3;283
0;1;0;0;0;1;12;0;288
0;1;0;0;0;1;12;0;248
1;0;1;1;0;0;13;0;260
0;0;0;0;0;1;16;0;294
0;1;0;0;0;1;11;0;329
0;0;0;0;1;0;5;1;598
1;0;1;0;1;0;12;0;527
1;0;0;1;0;1;9;5;242
1;1;1;0;0;0;11;0;348
1;1;0;0;1;0;10;0;260
;0;0;0;0;0;11;4;243
;1;0;0;1;0;13;2;295
;0;0;1;0;0;12;0;267
;1;0;0;0;1;9;5;344
;1;0;1;1;0;2;0;513
;0;0;0;0;0;8;0;220
;1;0;0;0;0;11;1;276
;1;1;0;0;0;12;0;544
;0;0;1;0;0;7;2;237
;1;0;1;0;0;10;0;254
;1;0;0;0;0;12;6;289
;0;0;0;1;1;14;1;472
;1;0;0;1;0;11;1;297
;1;0;0;0;0;10;0;256
;1;0;0;0;1;15;0;313
;1;0;0;0;0;11;0;324
;1;0;0;0;0;8;0;205
;1;0;0;0;0;8;8;292
;0;0;0;0;0;8;6;232
;1;0;0;1;1;8;0;486
;1;0;0;1;0;12;0;434
;1;0;0;1;0;5;0;317
;0;0;0;0;1;9;0;269
;1;0;0;0;1;12;3;332
;1;0;0;0;1;10;0;324
;1;0;0;0;0;12;1;347
;1;0;0;0;0;11;0;240
;0;1;1;1;0;9;0;231
;0;0;0;0;0;7;0;253
;1;0;0;0;1;8;1;475
;0;0;0;1;1;8;0;343
;0;1;1;0;0;11;0;255
;1;0;1;0;1;8;1;241
;1;0;0;0;0;15;1;277
;1;0;0;0;0;10;0;252
;0;0;0;0;1;8;1;250
;0;0;0;1;0;2;0;630
;1;1;1;1;0;10;0;416
;0;0;1;0;1;9;2;235
;0;0;0;0;0;6;0;231
;0;0;1;0;0;8;1;242
;1;0;0;1;1;12;0;353
;0;0;0;0;0;10;2;300
;1;0;1;0;0;12;1;299
;0;0;0;0;0;10;0;231
;0;0;0;0;0;9;2;290
;0;0;1;0;0;12;5;236
;0;1;1;0;0;12;0;393
;1;0;0;1;1;12;0;345
;0;0;0;0;0;8;2;252
